Drug Name,Drug ID,Disease Name,Disease ID,Inference Score,geneInferences
copanlisib,C000589253,Neoplasm Metastasis,MESH:D009362,3.49,TNF
copanlisib,C000589253,Neoplasm Invasiveness,MESH:D009361,3.53,TNF
Omaveloxolone,C000589490,Neoplasm Invasiveness,MESH:D009361,4.14,FTH1
rociletinib,C000589977,Neoplasm Metastasis,MESH:D009362,4.65,EGFR
rociletinib,C000589977,"Neoplasm Recurrence, Local",MESH:D009364,5.72,EGFR
rociletinib,C000589977,Neoplasm Invasiveness,MESH:D009361,4.69,EGFR
abemaciclib,C000590451,"Cell Transformation, Neoplastic",MESH:D002471,10.76,CCND1
abemaciclib,C000590451,"Cell Transformation, Neoplastic",MESH:D002471,10.76,ENO2
abemaciclib,C000590451,"Cell Transformation, Neoplastic",MESH:D002471,10.76,MYCN
abemaciclib,C000590451,"Cell Transformation, Neoplastic",MESH:D002471,10.76,VIM
abemaciclib,C000590451,Neoplasm Metastasis,MESH:D009362,12.89,ABCB1
abemaciclib,C000590451,Neoplasm Metastasis,MESH:D009362,12.89,MAPK1
abemaciclib,C000590451,Neoplasm Metastasis,MESH:D009362,12.89,MAPK3
abemaciclib,C000590451,Neoplasm Metastasis,MESH:D009362,12.89,RB1
abemaciclib,C000590451,Neoplasm Metastasis,MESH:D009362,12.89,VIM
abemaciclib,C000590451,Neoplasm Invasiveness,MESH:D009361,7.1,MAPK1
abemaciclib,C000590451,Neoplasm Invasiveness,MESH:D009361,7.1,MAPK3
abemaciclib,C000590451,Neoplasm Invasiveness,MESH:D009361,7.1,VIM
omadacycline,C000591640,Neoplasm Metastasis,MESH:D009362,3.13,ABCB1
afuresertib,C000593263,Lymphatic Metastasis,MESH:D008207,5.47,ING4
afuresertib,C000593263,Lymphatic Metastasis,MESH:D008207,5.47,MTOR
afuresertib,C000593263,Neoplasm Metastasis,MESH:D009362,5.69,DHFR
afuresertib,C000593263,Neoplasm Metastasis,MESH:D009362,5.69,HPSE
afuresertib,C000593263,Neoplasm Metastasis,MESH:D009362,5.69,LLGL2
afuresertib,C000593263,Neoplasm Metastasis,MESH:D009362,5.69,MST1
afuresertib,C000593263,Neoplasm Metastasis,MESH:D009362,5.69,MTHFR
afuresertib,C000593263,Neoplasm Metastasis,MESH:D009362,5.69,PDE5A
afuresertib,C000593263,Neoplasm Metastasis,MESH:D009362,5.69,TNF
afuresertib,C000593263,Neoplasm Metastasis,MESH:D009362,5.69,YAP1
afuresertib,C000593263,"Neoplasm Recurrence, Local",MESH:D009364,3.36,KIT
afuresertib,C000593263,"Cell Transformation, Neoplastic",MESH:D002471,2.83,AKR1C1
afuresertib,C000593263,"Cell Transformation, Neoplastic",MESH:D002471,2.83,AKR1C3
afuresertib,C000593263,"Cell Transformation, Neoplastic",MESH:D002471,2.83,GSK3B
afuresertib,C000593263,"Cell Transformation, Neoplastic",MESH:D002471,2.83,PDCD4
afuresertib,C000593263,Neoplasm Invasiveness,MESH:D009361,4.89,DLX4
afuresertib,C000593263,Neoplasm Invasiveness,MESH:D009361,4.89,EIF4E
afuresertib,C000593263,Neoplasm Invasiveness,MESH:D009361,4.89,HPSE
afuresertib,C000593263,Neoplasm Invasiveness,MESH:D009361,4.89,PDCD4
afuresertib,C000593263,Neoplasm Invasiveness,MESH:D009361,4.89,SLC39A10
afuresertib,C000593263,Neoplasm Invasiveness,MESH:D009361,4.89,TNF
afuresertib,C000593263,Neoplasm Invasiveness,MESH:D009361,4.89,XRCC3
GSK2110183,C000595148,Lymphatic Metastasis,MESH:D008207,4.86,MTOR
GSK2110183,C000595148,"Cell Transformation, Neoplastic",MESH:D002471,3.61,GSK3B
GSK2141795,C000595149,Neoplasm Invasiveness,MESH:D009361,2.9,TNF
GSK2141795,C000595149,Neoplasm Metastasis,MESH:D009362,2.86,TNF
GSK2141795,C000595149,"Cell Transformation, Neoplastic",MESH:D002471,3.69,GSK3B
polyethylene glycol 400,C000595213,Neoplasm Invasiveness,MESH:D009361,4.24,IL1B
Polyethylene Glycol 6000,C000595215,Neoplasm Invasiveness,MESH:D009361,4.24,IL1B
baricitinib,C000596027,Neoplasm Metastasis,MESH:D009362,6.85,OSM
baricitinib,C000596027,Neoplasm Metastasis,MESH:D009362,6.85,STAT1
baricitinib,C000596027,Neoplasm Invasiveness,MESH:D009361,3.2,CCL2
osimertinib,C000596361,"Neoplasm Recurrence, Local",MESH:D009364,4.34,EGFR
osimertinib,C000596361,Lymphatic Metastasis,MESH:D008207,4.58,STAT3
osimertinib,C000596361,Neoplasm Metastasis,MESH:D009362,31.83,CAT
osimertinib,C000596361,Neoplasm Metastasis,MESH:D009362,31.83,EGF
osimertinib,C000596361,Neoplasm Metastasis,MESH:D009362,31.83,EGFR
osimertinib,C000596361,Neoplasm Metastasis,MESH:D009362,31.83,IL6
osimertinib,C000596361,Neoplasm Metastasis,MESH:D009362,31.83,MAPK1
osimertinib,C000596361,Neoplasm Metastasis,MESH:D009362,31.83,MAPK3
osimertinib,C000596361,Neoplasm Metastasis,MESH:D009362,31.83,STAT3
osimertinib,C000596361,Neoplasm Metastasis,MESH:D009362,31.83,TWIST1
osimertinib,C000596361,"Cell Transformation, Neoplastic",MESH:D002471,18.68,CAT
osimertinib,C000596361,"Cell Transformation, Neoplastic",MESH:D002471,18.68,CXCL8
osimertinib,C000596361,"Cell Transformation, Neoplastic",MESH:D002471,18.68,EGF
osimertinib,C000596361,"Cell Transformation, Neoplastic",MESH:D002471,18.68,IL6
osimertinib,C000596361,"Cell Transformation, Neoplastic",MESH:D002471,18.68,STAT3
osimertinib,C000596361,Neoplasm Invasiveness,MESH:D009361,27.3,CAT
osimertinib,C000596361,Neoplasm Invasiveness,MESH:D009361,27.3,EGF
osimertinib,C000596361,Neoplasm Invasiveness,MESH:D009361,27.3,EGFR
osimertinib,C000596361,Neoplasm Invasiveness,MESH:D009361,27.3,IL6
osimertinib,C000596361,Neoplasm Invasiveness,MESH:D009361,27.3,MAPK1
osimertinib,C000596361,Neoplasm Invasiveness,MESH:D009361,27.3,MAPK3
osimertinib,C000596361,Neoplasm Invasiveness,MESH:D009361,27.3,TWIST1
acalabrutinib,C000604908,Neoplasm Metastasis,MESH:D009362,3.37,IL6
acalabrutinib,C000604908,Neoplasm Invasiveness,MESH:D009361,3.41,IL6
acalabrutinib,C000604908,"Cell Transformation, Neoplastic",MESH:D002471,3.49,IL6
