Drug Name,Drug ID,Disease Name,Disease ID,Inference Score,geneInferences,cluster
copanlisib,C000589253,Neoplasm Metastasis,MESH:D009362,3.49,TNF,3
copanlisib,C000589253,Neoplasm Invasiveness,MESH:D009361,3.53,TNF,3
Omaveloxolone,C000589490,Neoplasm Invasiveness,MESH:D009361,4.14,FTH1,0
rociletinib,C000589977,Neoplasm Metastasis,MESH:D009362,4.65,EGFR,0
rociletinib,C000589977,"Neoplasm Recurrence, Local",MESH:D009364,5.72,EGFR,0
rociletinib,C000589977,Neoplasm Invasiveness,MESH:D009361,4.69,EGFR,0
abemaciclib,C000590451,"Cell Transformation, Neoplastic",MESH:D002471,10.76,CCND1,0
abemaciclib,C000590451,"Cell Transformation, Neoplastic",MESH:D002471,10.76,ENO2,0
abemaciclib,C000590451,"Cell Transformation, Neoplastic",MESH:D002471,10.76,MYCN,0
abemaciclib,C000590451,"Cell Transformation, Neoplastic",MESH:D002471,10.76,VIM,0
abemaciclib,C000590451,Neoplasm Metastasis,MESH:D009362,12.89,ABCB1,0
abemaciclib,C000590451,Neoplasm Metastasis,MESH:D009362,12.89,MAPK1,0
abemaciclib,C000590451,Neoplasm Metastasis,MESH:D009362,12.89,MAPK3,0
abemaciclib,C000590451,Neoplasm Metastasis,MESH:D009362,12.89,RB1,0
abemaciclib,C000590451,Neoplasm Metastasis,MESH:D009362,12.89,VIM,0
abemaciclib,C000590451,Neoplasm Invasiveness,MESH:D009361,7.1,MAPK1,0
abemaciclib,C000590451,Neoplasm Invasiveness,MESH:D009361,7.1,MAPK3,0
abemaciclib,C000590451,Neoplasm Invasiveness,MESH:D009361,7.1,VIM,0
omadacycline,C000591640,Neoplasm Metastasis,MESH:D009362,3.13,ABCB1,0
afuresertib,C000593263,Lymphatic Metastasis,MESH:D008207,5.47,ING4,0
afuresertib,C000593263,Lymphatic Metastasis,MESH:D008207,5.47,MTOR,0
afuresertib,C000593263,Neoplasm Metastasis,MESH:D009362,5.69,DHFR,0
afuresertib,C000593263,Neoplasm Metastasis,MESH:D009362,5.69,HPSE,0
afuresertib,C000593263,Neoplasm Metastasis,MESH:D009362,5.69,LLGL2,0
afuresertib,C000593263,Neoplasm Metastasis,MESH:D009362,5.69,MST1,0
afuresertib,C000593263,Neoplasm Metastasis,MESH:D009362,5.69,MTHFR,7
afuresertib,C000593263,Neoplasm Metastasis,MESH:D009362,5.69,PDE5A,0
afuresertib,C000593263,Neoplasm Metastasis,MESH:D009362,5.69,TNF,3
afuresertib,C000593263,Neoplasm Metastasis,MESH:D009362,5.69,YAP1,0
afuresertib,C000593263,"Neoplasm Recurrence, Local",MESH:D009364,3.36,KIT,0
afuresertib,C000593263,"Cell Transformation, Neoplastic",MESH:D002471,2.83,AKR1C1,0
afuresertib,C000593263,"Cell Transformation, Neoplastic",MESH:D002471,2.83,AKR1C3,0
afuresertib,C000593263,"Cell Transformation, Neoplastic",MESH:D002471,2.83,GSK3B,0
afuresertib,C000593263,"Cell Transformation, Neoplastic",MESH:D002471,2.83,PDCD4,0
afuresertib,C000593263,Neoplasm Invasiveness,MESH:D009361,4.89,DLX4,0
afuresertib,C000593263,Neoplasm Invasiveness,MESH:D009361,4.89,EIF4E,0
afuresertib,C000593263,Neoplasm Invasiveness,MESH:D009361,4.89,HPSE,0
afuresertib,C000593263,Neoplasm Invasiveness,MESH:D009361,4.89,PDCD4,0
afuresertib,C000593263,Neoplasm Invasiveness,MESH:D009361,4.89,SLC39A10,0
afuresertib,C000593263,Neoplasm Invasiveness,MESH:D009361,4.89,TNF,3
afuresertib,C000593263,Neoplasm Invasiveness,MESH:D009361,4.89,XRCC3,0
GSK2110183,C000595148,Lymphatic Metastasis,MESH:D008207,4.86,MTOR,0
GSK2110183,C000595148,"Cell Transformation, Neoplastic",MESH:D002471,3.61,GSK3B,0
GSK2141795,C000595149,Neoplasm Invasiveness,MESH:D009361,2.9,TNF,3
GSK2141795,C000595149,Neoplasm Metastasis,MESH:D009362,2.86,TNF,3
GSK2141795,C000595149,"Cell Transformation, Neoplastic",MESH:D002471,3.69,GSK3B,0
polyethylene glycol 400,C000595213,Neoplasm Invasiveness,MESH:D009361,4.24,IL1B,0
Polyethylene Glycol 6000,C000595215,Neoplasm Invasiveness,MESH:D009361,4.24,IL1B,0
