Drug Name,Drug ID,Disease Name,Disease ID,Inference Score,geneInferences,cluster
copanlisib,C000589253,Neoplasm Metastasis,MESH:D009362,3.49,TNF,3
copanlisib,C000589253,Neoplasm Invasiveness,MESH:D009361,3.53,TNF,0
Omaveloxolone,C000589490,Neoplasm Invasiveness,MESH:D009361,4.14,FTH1,0
rociletinib,C000589977,Neoplasm Metastasis,MESH:D009362,4.65,EGFR,7
rociletinib,C000589977,"Neoplasm Recurrence, Local",MESH:D009364,5.72,EGFR,4
rociletinib,C000589977,Neoplasm Invasiveness,MESH:D009361,4.69,EGFR,0
abemaciclib,C000590451,"Cell Transformation, Neoplastic",MESH:D002471,10.76,CCND1,1
abemaciclib,C000590451,"Cell Transformation, Neoplastic",MESH:D002471,10.76,ENO2,1
abemaciclib,C000590451,"Cell Transformation, Neoplastic",MESH:D002471,10.76,MYCN,1
abemaciclib,C000590451,"Cell Transformation, Neoplastic",MESH:D002471,10.76,VIM,1
abemaciclib,C000590451,Neoplasm Metastasis,MESH:D009362,12.89,ABCB1,3
abemaciclib,C000590451,Neoplasm Metastasis,MESH:D009362,12.89,MAPK1,3
abemaciclib,C000590451,Neoplasm Metastasis,MESH:D009362,12.89,MAPK3,3
abemaciclib,C000590451,Neoplasm Metastasis,MESH:D009362,12.89,RB1,3
abemaciclib,C000590451,Neoplasm Metastasis,MESH:D009362,12.89,VIM,3
abemaciclib,C000590451,Neoplasm Invasiveness,MESH:D009361,7.1,MAPK1,0
abemaciclib,C000590451,Neoplasm Invasiveness,MESH:D009361,7.1,MAPK3,0
abemaciclib,C000590451,Neoplasm Invasiveness,MESH:D009361,7.1,VIM,0
omadacycline,C000591640,Neoplasm Metastasis,MESH:D009362,3.13,ABCB1,3
afuresertib,C000593263,Lymphatic Metastasis,MESH:D008207,5.47,ING4,0
afuresertib,C000593263,Lymphatic Metastasis,MESH:D008207,5.47,MTOR,0
afuresertib,C000593263,Neoplasm Metastasis,MESH:D009362,5.69,DHFR,3
afuresertib,C000593263,Neoplasm Metastasis,MESH:D009362,5.69,HPSE,3
afuresertib,C000593263,Neoplasm Metastasis,MESH:D009362,5.69,LLGL2,3
afuresertib,C000593263,Neoplasm Metastasis,MESH:D009362,5.69,MST1,3
afuresertib,C000593263,Neoplasm Metastasis,MESH:D009362,5.69,MTHFR,3
afuresertib,C000593263,Neoplasm Metastasis,MESH:D009362,5.69,PDE5A,3
afuresertib,C000593263,Neoplasm Metastasis,MESH:D009362,5.69,TNF,3
afuresertib,C000593263,Neoplasm Metastasis,MESH:D009362,5.69,YAP1,3
afuresertib,C000593263,"Neoplasm Recurrence, Local",MESH:D009364,3.36,KIT,4
afuresertib,C000593263,"Cell Transformation, Neoplastic",MESH:D002471,2.83,AKR1C1,1
afuresertib,C000593263,"Cell Transformation, Neoplastic",MESH:D002471,2.83,AKR1C3,1
afuresertib,C000593263,"Cell Transformation, Neoplastic",MESH:D002471,2.83,GSK3B,1
afuresertib,C000593263,"Cell Transformation, Neoplastic",MESH:D002471,2.83,PDCD4,1
afuresertib,C000593263,Neoplasm Invasiveness,MESH:D009361,4.89,DLX4,0
afuresertib,C000593263,Neoplasm Invasiveness,MESH:D009361,4.89,EIF4E,0
afuresertib,C000593263,Neoplasm Invasiveness,MESH:D009361,4.89,HPSE,0
afuresertib,C000593263,Neoplasm Invasiveness,MESH:D009361,4.89,PDCD4,0
afuresertib,C000593263,Neoplasm Invasiveness,MESH:D009361,4.89,SLC39A10,0
afuresertib,C000593263,Neoplasm Invasiveness,MESH:D009361,4.89,TNF,0
afuresertib,C000593263,Neoplasm Invasiveness,MESH:D009361,4.89,XRCC3,0
GSK2110183,C000595148,Lymphatic Metastasis,MESH:D008207,4.86,MTOR,0
GSK2110183,C000595148,"Cell Transformation, Neoplastic",MESH:D002471,3.61,GSK3B,1
GSK2141795,C000595149,Neoplasm Invasiveness,MESH:D009361,2.9,TNF,0
GSK2141795,C000595149,Neoplasm Metastasis,MESH:D009362,2.86,TNF,3
GSK2141795,C000595149,"Cell Transformation, Neoplastic",MESH:D002471,3.69,GSK3B,1
polyethylene glycol 400,C000595213,Neoplasm Invasiveness,MESH:D009361,4.24,IL1B,0
Polyethylene Glycol 6000,C000595215,Neoplasm Invasiveness,MESH:D009361,4.24,IL1B,0
baricitinib,C000596027,Neoplasm Metastasis,MESH:D009362,6.85,OSM,3
baricitinib,C000596027,Neoplasm Metastasis,MESH:D009362,6.85,STAT1,3
baricitinib,C000596027,Neoplasm Invasiveness,MESH:D009361,3.2,CCL2,0
osimertinib,C000596361,"Neoplasm Recurrence, Local",MESH:D009364,4.34,EGFR,4
osimertinib,C000596361,Lymphatic Metastasis,MESH:D008207,4.58,STAT3,1
osimertinib,C000596361,Neoplasm Metastasis,MESH:D009362,31.83,CAT,3
osimertinib,C000596361,Neoplasm Metastasis,MESH:D009362,31.83,EGF,3
osimertinib,C000596361,Neoplasm Metastasis,MESH:D009362,31.83,EGFR,7
osimertinib,C000596361,Neoplasm Metastasis,MESH:D009362,31.83,IL6,3
osimertinib,C000596361,Neoplasm Metastasis,MESH:D009362,31.83,MAPK1,3
osimertinib,C000596361,Neoplasm Metastasis,MESH:D009362,31.83,MAPK3,3
osimertinib,C000596361,Neoplasm Metastasis,MESH:D009362,31.83,STAT3,1
osimertinib,C000596361,Neoplasm Metastasis,MESH:D009362,31.83,TWIST1,3
osimertinib,C000596361,"Cell Transformation, Neoplastic",MESH:D002471,18.68,CAT,1
osimertinib,C000596361,"Cell Transformation, Neoplastic",MESH:D002471,18.68,CXCL8,1
osimertinib,C000596361,"Cell Transformation, Neoplastic",MESH:D002471,18.68,EGF,1
osimertinib,C000596361,"Cell Transformation, Neoplastic",MESH:D002471,18.68,IL6,1
osimertinib,C000596361,"Cell Transformation, Neoplastic",MESH:D002471,18.68,STAT3,1
osimertinib,C000596361,Neoplasm Invasiveness,MESH:D009361,27.3,CAT,0
osimertinib,C000596361,Neoplasm Invasiveness,MESH:D009361,27.3,EGF,0
osimertinib,C000596361,Neoplasm Invasiveness,MESH:D009361,27.3,EGFR,0
osimertinib,C000596361,Neoplasm Invasiveness,MESH:D009361,27.3,IL6,0
osimertinib,C000596361,Neoplasm Invasiveness,MESH:D009361,27.3,MAPK1,0
osimertinib,C000596361,Neoplasm Invasiveness,MESH:D009361,27.3,MAPK3,0
osimertinib,C000596361,Neoplasm Invasiveness,MESH:D009361,27.3,TWIST1,0
acalabrutinib,C000604908,Neoplasm Metastasis,MESH:D009362,3.37,IL6,3
acalabrutinib,C000604908,Neoplasm Invasiveness,MESH:D009361,3.41,IL6,0
acalabrutinib,C000604908,"Cell Transformation, Neoplastic",MESH:D002471,3.49,IL6,1
BMS-906024,C000606543,"Cell Transformation, Neoplastic",MESH:D002471,4.89,NOTCH1,1
epacadostat,C000613752,"Neoplasm Recurrence, Local",MESH:D009364,6.54,IDO1,4
napabucasin,C000621033,"Neoplasm Recurrence, Local",MESH:D009364,7.6,ERBB2,4
napabucasin,C000621033,"Neoplasm Recurrence, Local",MESH:D009364,7.6,SOX2,4
napabucasin,C000621033,Lymphatic Metastasis,MESH:D008207,12.88,ERBB2,0
napabucasin,C000621033,Lymphatic Metastasis,MESH:D008207,12.88,FOXP1,0
napabucasin,C000621033,Lymphatic Metastasis,MESH:D008207,12.88,STAT3,1
napabucasin,C000621033,Neoplasm Metastasis,MESH:D009362,33.2,AXL,3
napabucasin,C000621033,Neoplasm Metastasis,MESH:D009362,33.2,CD44,3
napabucasin,C000621033,Neoplasm Metastasis,MESH:D009362,33.2,CTNNB1,3
napabucasin,C000621033,Neoplasm Metastasis,MESH:D009362,33.2,EGF,3
napabucasin,C000621033,Neoplasm Metastasis,MESH:D009362,33.2,ERBB2,3
